MatchId,Summoner,Champion,Win,Kills
6585016690,ESCAPEDELAN,Fiora,true,3
6582670660,dukleinerhuan,Malphite,true,4
6582356155,FirstEarthBender,Ekko,true,3
6582223611,LucidTranquility,Darius,true,9
6582038112,Sion Guku,Ornn,true,4
6581666270,GarenExpert,Gangplank,true,1
6581118119,Billy Mitchell,Garen,true,6
6580956420,Xili17,Ornn,true,2
6580930825,Siron Le Simple,Sion,true,4
6580437223,diken66,Olaf,true,26
6580316659,Sanotaro,Malphite,true,11
6580087307,iFaoZ,Tryndamere,true,11
6580033157,Garinovic,Tryndamere,true,9
6579857230,RésorbeurDeGland,Jax,true,4
6579648737,zcv89,Vayne,true,7
6579101026,Coulis au caca,Dr. Mundo,true,4
6578787797,Auto Barrel,Gangplank,true,9
6578472608,RLB Azusadier,Cho'Gath,true,9
6578217081,ReVarC,Gwen,true,12
6578060619,unknowar,Malphite,true,2
6577467486,Benjamin Mendé,Garen,true,7
6577155433,waf nik,Darius,true,13
6577037883,Oycorano,Teemo,true,9
6576723967,MrNiceGuy,Jax,true,7
6576243943,MrNiceGuy,Darius,true,2
6575264217,Skradsos,Yone,true,8
6574916230,Pencowebo ,Mordekaiser,true,11
6574676254,Fantay,Gwen,true,7
6573816854,Demassudba58,Darius,true,10
6570805305,virol,Maokai,true,6
6566911025,Camaeeleon,Dr. Mundo,true,7
6565147496,Schlafi3000,Illaoi,true,5
6562214090,YON3 UNF0RG0TTEN,Riven,true,18
6562150442,Azir aka Chicken,Ryze,true,6
6562009475,MrERigby69,Illaoi,true,1
6560825481,Mélenfion,Naafiri,true,13
6560324972,Brad Biite,Akali,true,11
6560258302,BABAbus,Gragas,true,6
6559163680,Yuumiland Paris,Fiora,true,6
6557753950,ElSonko,Renekton,true,6
6557708314,Rospo,Shen,true,9
6557052301,Oz55wR,Malphite,true,4
6555896916,NoxziusV2,Volibear,true,9
6554515109,RewoZz,Jhin,true,14
6553268746,jeägar,Malphite,true,7
6552570396,EggSniffer3000,Renekton,true,11
6551844042,D0MIN01,Shyvana,true,6
6551568930,PyroBoy,Irelia,true,13
6551187094,Graisse de fesse,Malphite,true,5
6551154748,As0p01,Ornn,true,1
6550966619,Hafenschlepper,Varus,true,8
6550916337,blissfullMANIA,Akshan,true,12
6550402148,Boogie Bomb ,K'Sante,true,11
6550207269,CôreGO ooooiiiii,Kennen,true,7
6550176600,Veigár Bot,Yone,true,4
6550121607,Makagi,Kayle,true,9
6549932299,ShInZoooo,Jax,true,16
6549877436,goredrinker diff,Fiora,true,7
6549835082,PDF File Police,Kayle,true,7
6549719672,KagarinoKirie,Naafiri,true,7
6549671780,PhillyPhally,Garen,true,1
6549608545,egobrain,Camille,true,6
6549446664,JiangsuSexDemon,Illaoi,true,9
6549190297,Folkoose,Nasus,true,3
6549159018,Gnarxy,Riven,true,5
6549053281,egg yolks,Kled,true,11
6549024556,rkrafzi,Aatrox,true,5
6548967719,AFKjokin15,Malphite,true,3
6548901129,Psychopath Ninja,Urgot,true,12
6548534222,Shayn45,Garen,true,8
6548478417,Deeztrox,Aatrox,true,14
6548440080,katapultesmorts,Nasus,true,9
6548394671,hayatımın anlamı,Yasuo,true,14
6548215608,TheycallmeBreeze,Shyvana,true,3
6548001085,lyyxjjhgr,Jayce,true,9
6547785606,fKrJeff,Ornn,true,8
6547751982,gangster swag 69,Sion,true,6
6547719394,Trynda miss R,Tryndamere,true,2
6547615624,Salatrix,Gangplank,true,2
